id,phase,kind,tag,cycle_day_min,cycle_day_max,title,body
1,menstrual,food,Nourish,1,5,Iron-rich plates,Lentils dark greens and beets replenish iron lost during bleeding. Pair with vitamin C to absorb more.
2,menstrual,food,Nourish,1,5,Warm nourishing soups,Bone broth or lentil soup warms the body and restores minerals gently. Cold foods can worsen cramps.
3,menstrual,food,Nourish,1,5,Magnesium-rich foods,Dark chocolate pumpkin seeds and spinach relax uterine muscles and significantly ease cramps.
4,menstrual,food,Nourish,1,3,Omega-3 rich foods,Salmon walnuts and flaxseeds reduce prostaglandins — the hormones that cause cramping and inflammation.
5,menstrual,food,Nourish,1,5,Ginger and turmeric tea,Both are potent anti-inflammatories. Ginger also reduces nausea which can accompany heavy flow days.
6,menstrual,food,Nourish,1,5,Hydrate with herbal teas,Chamomile and raspberry leaf tea soothe the uterus and reduce cramping. Aim for 8 glasses of water.
7,menstrual,food,Nourish,3,5,Vitamin C boost,Citrus berries and kiwi help absorb the iron you are losing and support immune function during bleeding.
8,menstrual,food,Nourish,1,5,Avoid processed sugar,Blood sugar spikes worsen mood swings and fatigue during your period. Choose fruit for sweetness instead.
9,menstrual,move,Move,1,5,Gentle yin yoga,Slow stretches and restorative poses ease tension in the lower back and hips. Follow your body's lead.
10,menstrual,move,Move,1,3,Full rest is valid,On the heaviest days doing nothing is the right choice. Your body is doing significant hormonal work.
11,menstrual,move,Move,1,5,Short slow walks,15 minutes outside boosts mood without draining your already low energy reserves.
12,menstrual,move,Move,3,5,Light stretching,5 minutes of gentle morning stretching loosens stiff muscles and gets blood moving without overexerting.
13,menstrual,move,Move,1,5,Child's pose and hip openers,These target the exact muscles that cramp during menstruation. Hold each pose for 60 seconds.
14,menstrual,move,Move,4,5,Gentle swimming,Water supports your body weight and warm water relaxes cramping muscles. Avoid cold pools.
15,menstrual,move,Move,1,5,Breathwork for pain,Slow diaphragmatic breathing activates the parasympathetic system and reduces pain perception.
16,menstrual,move,Move,1,5,Restorative yoga with props,Use bolsters and blankets to support your body in passive poses. Deeply restoring with zero effort.
